from_user,text,created_at
mahmuhasetabuha,يعنى نقبل انه يكون عندنا رئيس مامته حلفت بولائها لبلد تانية او حتى اخته \n#حازمون #رأى #ابو_اسماعيل #مصر,16/04/2012 21:59
MOTAZGHAMDI,يا #ابو_اسماعيل ادينا اشارة واحنا نجيب طنطاوى فى شيكارة ..... صلاة النبى أحسن :)),16/04/2012 21:54
artboon999,"RT @ahmed3zat: هتاف السلفيين دلوقت قدام اللجنة "" قال بيقولوا أمريكية ايا ايا اوه ..اه ياشوية حرامية ايا ايا اوه #ابو_اسماعيل #حازمون_اتجننوا",16/04/2012 21:52
ikoOoki,#كسم حازم #ابو_اسماعيل,16/04/2012 21:51
Autokazbon,"بعد تهرب أبوإسماعيل من اللقاء.. ""شورى العلماء"" يدعو إلى عدم المصادمة #ابو_اسماعيل",16/04/2012 21:49
Mustafa_Bakri,رأيى فى موضوع ابو اسماعيل .. #ابو_اسماعيل كداب .. انصاره بيتبعووه بلا تفكير و عشان هو بيعرف يضحك عليهم,16/04/2012 21:49
KarimShedid,للأسف محبي #منير نفس ولاد #ابو_اسماعيل في التحيز و الشدد لكلاهما :S,16/04/2012 21:48
mollyyoussef,أبو إسماعيل يتهرب من هيئة شورى العلماء لرفضه القسم على جنسية والدته _ هو عارف انها امريكية لكن بيماطل في ثغرات قانونية #ابو_اسماعيل,16/04/2012 21:48
walooo2009,"RT @TheEgyTweet: نفسى ولاد #ابو_اسماعيل و #حازمون يشوفوا الفيديو ده والتعليق الرائع من الاستاذ ابراهيم عيسى ""التدين قول الحق مش بالدقن "" http://t.co/VPGSJ2wN",16/04/2012 21:48
AmrIsmail2,هما طلعوا اللي معاهم طلع انت بقي الي معاك!!! #ابو_اسماعيل,16/04/2012 21:48
TameREmaD,الشيخ حازم أحسبه ممن سينصر الله ورسوله ويحكم شرعه شاهدوه يبكي لكلمات نشيد هو الحق خوفا ان يكون دعيا http://t.co/wAmsmKjR \n#ابو_اسماعيل,16/04/2012 21:46
princess200099,مين فاكر الاخوان ف الجامعة لما حولوا اغنية لولاكى لولا لولا ..الى اسلامنا باقى باقى باقى #ابو_اسماعيل  #اخوان_كاذبون #حازمون #كاذبون,16/04/2012 21:46
wsen1,"RT @Sasa94s: ههههههههههههه ""@adelz90 عاجل وبالدليل | المشير طنطاوي يحمل الجنسية الأمريكية ! شييير بسرعة :P #حازمون #ابو_اسماعيل http://t.co/GqH9ql16""",16/04/2012 21:45
for3onia,"لاولاد ابو اسماعيل .. ""شورى العلماء"" يدعو إلى عدم المصادمة ويصدر بيان http://t.co/cIM7QL0Z #ابو_اسماعيل",16/04/2012 21:39
amera_elsaidi,لاولاد ابو اسماعيل .. أبو إسماعيل يتهرب من هيئة شورى العلماء لرفضه القسم على جنسية والدته http://t.co/t5rULqwf #ابو_اسماعيل,16/04/2012 21:38
AhmedHussein_Tw,#ابو_اسماعيل الشعب مش مختوم فعلا #الختم_في_الدرج,16/04/2012 21:36
mostafa2k82,RT @Muns707: فيديو الشيخ ابو اسحاق الحويني وهو شيخ للسيد حازم ابو اسماعيل نشاهد وكانه يخاطبه\nhttp://t.co/fFEQpD7r\n#ابو_اسماعيل #مصر #اخوان_كاذبون,16/04/2012 21:35
EgNour,"http://t.co/CaWRnX63 بعد تهرب أبوإسماعيل من اللقاء.. ""شورى العلماء"" يدعو إلى عدم المصادمة الشخشوخ  طلع كذاب يا خساره #حازمون #ابو_اسماعيل",16/04/2012 21:34
M0hamedHassan,الشيخ الشعراوي: إذا وجدتم رجل الدين يستميت على السلطة فلا تولوه.  #ابو_اسماعيل. #حازمون. #HazemSalah. #AboIsmael,16/04/2012 21:33
twitgoodman,لاولاد ابو اسماعيل .. الولايات المتحدة لا تستخدم أي أختام على أوراقها الدبلوماسية http://t.co/mw0HxVJj #ابو_اسماعيل,16/04/2012 21:32
Tweet3beet,انصار #ابو_اسماعيل يدخلون اعتصام مفتوح امام العليالحين الفصل فى تظلمه http://t.co/GqPMcr2J دي ناس لا ليهافي ديمقراطية ولاحريةبس عبودية #مصر,16/04/2012 21:31
Revolutionlady,RT @A7mdAnwar: عـــــــاجـــــل : مؤكد : ابو اسماعيل خارج السباق الرئاسى وتم رفض تظلم الشيخ حازم صلاح #ابو_اسماعيل #Fb,16/04/2012 21:31
mahedoda,RT @TameREmaD: عـــــــاجـــــل : مؤكد : ابو اسماعيل خارج السباق الرئاسى وتم رفض تظلم الشيخ حازم صلاح #ابو_اسماعيل #HazemSalah,16/04/2012 21:31
IssaHaitham,عـــــــاجـــــل : مؤكد : ابو اسماعيل خارج السباق الرئاسى وتم رفض تظلم الشيخ حازم صلاح #ابو_اسماعيل #HazemSalah,16/04/2012 21:30
medoelmasrey,حازم صلاح ابو اسماعيل طلع كذاب وخاف من الذهاب للجنة كبار العلماء عشان يقسم على انه صادق وتهرب منهم #ابو_اسماعيل #حازمون,16/04/2012 21:30
MayadaaMostafa,RT @alyhelal: RT @A7mdAnwar: عـــــــاجـــــل : مؤكد : ابو اسماعيل خارج السباق الرئاسى وتم رفض تظلم الشيخ حازم صلاح #ابو_اسماعيل #Fb,16/04/2012 21:28
Ahmed_F4wzy,@eLkarargi طيب علشان اريحك امريكا من المستحيل انها تطلع ورق رسمي عن ام #ابو_اسماعيل  الا بحكم محكمة عدا ذلك اي تلاعب تم يُعد غير قانوني,16/04/2012 21:28
kinzy25,لا يمكن لاي شخص التقدم للحصول علي جواز سفر امريكي الا عندما يكون ُمجنس بجنسية هذا البلد .. #ابو_اسماعيل #حازمون #egypt #jan25 #اخوان,16/04/2012 21:28
MohamadHaitham,ايه الجديد ف موضوع #ابو_اسماعيل ؟,16/04/2012 21:27
morad3277,@Revolutionlady بس بعيد عن موقف السلطه وموقف #ابو_اسماعيل. بحس ان هما جهله,16/04/2012 21:27
Shady_Elwahsh,ولاد #ابو_اسماعيل كتير قوي وموقفين صلاح سالم,16/04/2012 21:26
engBelalRagab,ايوة يا جماعة ماهي مافهاش ختم امريكا الاحمر و حتم مصر الازرق تبقة طبعاا مزورة #ابو_اسماعيل,16/04/2012 21:26
noourahmed,#ابو_اسماعيل اللي بيتكلم مبيعملش .. بس خلاص :),16/04/2012 21:25
SaSoZiZo,#أبوإسماعيل يتهرب من هيئة شورى العلماء لرفضه القسم على جنسية والدته..لو الكلام أكيد يبقى #تاهت_ولقناها يا ولاد #مصر\n#ابو_اسماعيل #youm7,16/04/2012 21:25
AHMADitis,علي فكرة برضوا يا ابو اسماعيل مزورة مفهاش كلمة امريكا #ابو_اسماعيل,16/04/2012 21:23
RamiWaheed,#ابو_اسماعيل بيقولك بالمطبعة .. مش بختم الختامة .. احا ده فاكر ان امريكا بتزور كده . سمعت عن الكمبيوتر يا اخ !!,16/04/2012 21:23
HebaGhannam,"تهرش الكذاب لما تبريراته نفسها تكون متناقضة. امريكا بتزور, المستندات الأمريكية لا شرعية لها في مصر, الباسبور لا يعني الجنسية!!! #ابو_اسماعيل",16/04/2012 21:22
abdofares,@Revolutionlady #ابو_اسماعيل ده اللي انا بقوله برضه والمفروض ان البينه على من ادعي,16/04/2012 21:21
ShooRoouk,انا ولا مع حازم و لا ضده، بس ليه افترضنا صدق السلطه فى اللى بيحصل ، ماهو كل مرة بنكذبهم ، اشمعنى المره دى الناس مصدقاهم #ابو_اسماعيل,16/04/2012 21:21
mohamedaminmasa,RT @MayadaaMostafa: والله الست قربت تقوم من قبرها تقوله ارحمناااااا #ابو_اسماعيل,16/04/2012 21:20
SalmaTalaat91,والان ولاد #ابو_اسماعيل بيقولك الورقه الي مع اللجنه مزورة طب ايه رأيك بقى ان الورقه الي معاكو هي المزورة و خلينا في الفيلم ده شهرين تلاتة,16/04/2012 21:19
ahmed_sabry,أبو إسماعيل يتهرب من هيئة شورى العلماء لرفضه القسم على جنسية والدته #ابواسماعيل #حازمون #ابو_اسماعيل,16/04/2012 21:18
Hadoutaa,والله الست قربت تقوم من قبرها تقوله ارحمناااااا #ابو_اسماعيل,16/04/2012 21:14
Nashwa14,#بيقولك ولاد #ابو_اسماعيل عملو انقلاب في #قطر عقابا لها على تأمرها مع #اسرائيل و #امريكا و العلمانيين الكفره ولاد الوسخه #احيه,16/04/2012 21:13
terika22,الدنيا كلها بتشتغل #حازمون عند اللجنة مذيع الجزيرة بيقول لمدير الحملة هل لو اللجنة استبعدت الشيخ حازم حتعملوا عمليات استشهادية؟ #ابو_اسماعيل,16/04/2012 21:07
A_7osney,لو رجعوا #ابو_اسماعيل هيرجعوا #عمر_سليمان,16/04/2012 21:07
Ahmed_Lakkany,"@SaSoZiZo #ابو_اسماعيل, طيب هو أصلاً اللجنة جابت شي يثبت أي شي ؟؟",16/04/2012 21:05
MaGEd_Ali79,RT @engBelalRagab: https://t.co/QdMhhLNd تصريح جديد للخارجية الامريكية عن جنسية والده #ابو_اسماعيل #مسخرة #Egypt #فضيحة #حازمون,16/04/2012 21:04
mo7amed7ussein,كام واحد مستعد يموت عشان #ابو_اسماعيل ؟ تخيل كدة فعلا ان كل واحد هيموت عشان حازم هيدخل الجنة ..طب مستنى اية ؟ \n#حازمون #egypt #yalla #go,16/04/2012 21:02
