,from_user,text,created_at
1973,agel3741,قالك كذاب  اذا كانت الثوره قد قامت من اجل مدمن  فلتقم مره اخرى من اجل كذاب حازم ابو اسماعيل سنحيا كراما  ,17/04/2012 18:52
1974,agel_81,تاني  اللجنه كلها نصابين وحراميه ومزورين وخلافه  انت فين ما يثبت عكس كلامهم  فين الجرين كارد  فين مستنداتك  ابو اسماعيل,17/04/2012 18:52
1975,_agel92,اللى بيهتف ويقول ادنيا اشاره نجيب طنطاوى فى شكاره احب اقوله لو راجل ودكر صحيح اعملها ابو اسماعيل حازمون مصر,17/04/2012 18:53
1976,bastaweeesy,ابو اسماعيل قرر اعتصام مفتووح  ما هو يا الانتخابات يا الفلوس اللي صرفها على الانتخابات  الراجل عنده حق اتكلف برده ,17/04/2012 18:52
1977,Hazem_AbuIsmael,شبكه العملاق     رصد  كلمه الشيخ حازم صلاح ابو اسماعيل من امام لجنه الانتخابات    ,17/04/2012 18:52
1978,z_Joker,    وبعيدا عن مجانين ابو اسماعيل ومجانين الريال والبايرن تسيب انت كل ده يا معلم وتسمع منير ,17/04/2012 18:52
1979,ELMa3sarawy,ابو اسماعيل اصيب بشلل راعاش  وعمال يقول والنبي نولوني الولاعه عايز اولع مصر بحالها  وساعات بيقول  المجلس بلع الحصان يا نوال ,17/04/2012 18:53
1980,mahmoudmahdy030,يا عم ما تطلع دين ام الجرين كارد خلينا نخلص من القرف دا ابو اسماعيل,17/04/2012 18:53
1981,Moraslen,  اللى بيهتف ويقول ادنيا اشاره نجيب طنطاوى فى شكاره احب اقوله لو راجل ودكر صحيح اعملها ابو اسماعيل حازمون مصر,17/04/2012 18:54
1982,MohamedMoostafa,ابو اسماعيل نازل التحرير جمعه  ابريل لا وحياه باسبور امك دى جمعتنا مش جمعه امك,17/04/2012 18:53
1983,MawlanaAlRazi,من ثار لنصره الحق فالحق معهومن ثار لنصره ابو اسماعيل بعد ما بقى كداب رسمى فـ مع نفسه بقىنو هارد فيلينجز يا مان ابو اسماعيل,17/04/2012 18:54
1984,Eyes_On_Egypt,  قالك كذاب  اذا كانت الثوره قد قامت من اجل مدمن  فلتقم مره اخرى من اجل كذاب حازم ابو اسماعيل سنحيا كراما  ,17/04/2012 18:54
1985,Eng_TripleA,التراس ابو اسماعيل تكبييييييييير,17/04/2012 18:54
1986,M7elmy,خلاص يا جماعه ابو اسماعيل خلص الداي يوز النهارده وهيروح وهيجيلكم بكره  حازمون,17/04/2012 18:54
1987,ladymasrya,بيقولك ابو اسماعيل هيديوه البيعه ويبقى الخليفه غصب واقتدار   حازمون,17/04/2012 18:54
1988,Nguapa,  ابو اسماعيل نازل التحرير جمعه  ابريل لا وحياه باسبور امك دى جمعتنا مش جمعه امك,17/04/2012 18:55
1989,enjykairy,الى ابو اسماعيل و انصاره استقتالك على السلطه و تعريضك لانصارك وللبلد لخطر ولفتنه لمجرد انك اترفضت فى الترشح ابو اسماعيل,17/04/2012 18:55
1990,Abdallaabozaid,ابو اسماعيل قال حيفضح اللجنه العليايلا يا فاتح الفتوح يا جامد افضحها ورينا عضلاتك وطلعلنا الجرين زفت كلامنجي,17/04/2012 18:56
1991,mohamed_shekoo, امال كنت حتعمل ايه لو اترشحت و خسرت فى الانتخابات كان انصارك حيعملوا ايه فى المرشح اللى كسب ابو اسماعيل,17/04/2012 18:56
1992,hossam_makram,  لو اي حد حصلوا حاجه يبقى ذنبه في رقبه ابو اسماعيل,17/04/2012 18:56
1993,TheBigShow2020,مش ثقه في القضاء لكن ابو اسماعيل وغيره ارتضو الترشح في وحود هذه اللجنه ووجود الماده مينفعش يقولو مش محايده دلوقتي يبقو منافقون كاذبون,17/04/2012 18:56
1994,gamo_mg, احنا عايزين رئيس مش عايزين فرعون جديد و له اتباع يجيشها ضد الشعب وقت ما يحب ابو اسماعيل,17/04/2012 18:56
1995,rashrosha,  انا شايف الناس اللي ميتسموش شمتانين في ابو اسماعيل و بيقولو عليه كدابهو احنا نسينا ان اللجنه ديه فلول و لا ايهابو الميكافيليه يا جدع,17/04/2012 18:57
1996,MSaleh2012,لن يتغير قرار اللجنه باخراج ابو اسماعيل من السباق اما هو فامامه فرصه الخروج المشرف امام الناس لغلق باب الفتن في هذه اللحظه التاريخيه الحرجه,17/04/2012 18:57
1997,mohamedalnemnem, ولا كنت حتعمل ايه لو مسكت البلد وبقيت رئيس فى اللى حيعارضك لا يقف قدامك ابو اسماعيل,17/04/2012 18:58
1998,Moh8meD,    اللى بيهتف ويقول ادنيا اشاره نجيب طنطاوى فى شكاره احب اقوله لو راجل ودكر صحيح اعملها ابو اسماعيل حازمون مصر,17/04/2012 18:57
1999,DeenaSharshar,  خلاص يا جماعه ابو اسماعيل خلص الداي يوز النهارده وهيروح وهيجيلكم بكره  حازمون,17/04/2012 18:57
2000,m7mdelwaly,  وبعيدا عن مجانين ابو اسماعيل ومجانين الريال والبايرن تسيب انت كل ده يا معلم وتسمع منير ,17/04/2012 18:58
2001,andyadamss,عزاونا بالثوره المصريه لاخواننا المصريين والعرب لقد اصبحت الاراده الامركيه نافذه على السياده المصريه وفوق اراضيه حازمون ابو اسماعيل,17/04/2012 18:59
2002,karemgad_80,الجزائر الاخباريه ا رصد  كلمه الشيخ حازم صلاح ابو اسماعيل من امام لجنه الانتخابات الرئاسيه بعد اس  ,17/04/2012 18:58
2003,Amaryasser12,يا شيخ اتقى الله و لو بتحب بلدك وعايز مصلحتها كفايه تسخين و حشد فى اتباعك و اتكل على الله و روح اقعد جنب اخواتك فى امريكاابو اسماعيل,17/04/2012 18:58
2004,vk1416i,التايم لاين يا اما بيشتم ابو اسماعيل او بيشجع  ,17/04/2012 18:58
2005,altoshkawy,علي راي الشاعر احنا نظريه موامره و طلعلها شعب ابو اسماعيل,17/04/2012 18:59
2006,mah_elhady,   لن يتغير قرار اللجنه باخراج ابو اسماعيل من السباق اما هو فامامه فرصه الخروج المشرف امام الناس لغلق باب الفتن في هذه اللحظه التاريخيه الحرجه,17/04/2012 18:59
2007,sherinemedhat,ياجماعه احنا نجوز ابو اسماعيل هنومه يمكن اعصابه تهدي ,17/04/2012 19:00
2008,MohamedAlHefna1,مقدره جدا احساس حد بيحب مرشحه وحاسس انه يستاهل يبقي رئيس وبعدين مينفعش ده يحصل بيبقي حزين بجد حازمون ابو اسماعيل,17/04/2012 19:00
2009,BasselKhaled,  اللى بيهتف ويقول ادنيا اشاره نجيب طنطاوى فى شكاره احب اقوله لو راجل ودكر صحيح اعملها ابو اسماعيل حازمون مصر,17/04/2012 19:01
